LESSTHAN80,LTHS_25TO34_PCT,TOT_POP,TOT_HOUSING_UNITS,UNEMPLRT,POVRT,PASSED_THRESHOLD,CDBG_PER_PR_RESID
22940,0.71,166657,73535,5.14,9.02,1,553.3819405500135
65285,1.58,469473,187116,3.68,9.28,0,130.3904336365757
13390,1.13,86742,34550,5.44,13.97,0,67.68734763274915
2700,0.12,22729,15523,1.88,12.63,0,78.70855148342059
17390,1.65,116970,43734,3.89,9.79,0,193.49335332510145
2235,6.5,12156,5528,2.7,20.4,0,47.56921824104234
37035,2.86,223890,78323,4.82,12.47,0,80.19528224339855
2315,4.68,10128,4670,5.87,12.23,0,122.34910277324633
11980,0.87,65670,30226,4.09,12.45,1,151.3195375
1420,4.16,6011,3965,7.7,26.86,1,288.9787033523086
2955,0.51,16520,7276,2.56,13.61,1,49.87531172069826
959515,2.2,5169517,2198489,7.04,13.68,1,374.27535111268406
3280,1.45,18833,8680,4.01,11.51,1,330.1769677760169
1700,0.0,10787,4879,2.29,11.36,1,864.4278606965174
18375,2.64,104588,41245,6.57,16.01,1,35.5298125
2560,0.12,15764,7578,4.84,10.33,1,173.95545796737767
5820,1.39,32878,15679,4.98,12.28,1,21.77506297229219
2730,2.04,14398,8453,5.78,10.97,1,1431.0643662906436
2155,6.4,12324,5816,6.4,15.1,1,910.3705114254625
41000,0.8,210006,93679,4.77,19.15,1,76.0869545015041
6180,1.22,32705,15592,3.43,10.64,1,416.8196423158533
2420,0.12,15602,7822,3.96,8.69,1,1468.323611111111
6290,1.85,37549,15909,3.11,7.82,1,379.882713821725
10030,2.59,51065,23481,6.82,20.45,1,139.76493039084252
1770,0.0,13736,4890,0.49,9.7,0,455.68924003009784
1700,0.2,13111,9089,6.42,13.46,0,296.38411381149973
2750,2.8,17771,7438,3.06,13.95,0,544.2267322673226
2500,11.04,15280,6248,6.4,16.56,0,179.14012738853503
3230,0.27,16511,8769,4.58,11.74,0,296.5942184154176
3365,0.26,29238,9586,3.44,8.2,0,466.4437944003343
3260,6.98,24074,8590,4.65,17.74,0,48.612187057156355
25425,0.67,161676,72799,4.0,10.33,0,24.617278626880154
825,1.15,3850,1955,5.09,15.38,0,231.3884156729131
825,3.23,5342,2015,3.52,12.5,0,500.1210287443268
7180,0.48,40468,17920,3.44,13.11,0,263.5687516908213
720,0.0,4429,2006,0.68,12.18,0,1091.4179104477612
2490,17.53,11724,4956,2.71,13.58,0,85.87022900763358
1150,25.37,7635,3031,5.62,12.05,0,497.26775956284155
2775,1.01,12700,7146,8.56,15.42,0,706.7654706188248
1515,5.06,11776,5982,5.21,6.89,0,567.3016069221261
13325,4.31,86198,33785,3.06,13.58,0,172.72772105900674
6130,1.14,37418,21486,8.99,16.89,1,19.393511250654107
6340,6.47,30655,23408,10.03,22.72,1,50.81200988947062
10740,0.85,78957,31955,3.42,8.28,1,16.473317865429234
2985,1.68,12802,6374,9.13,33.39,1,555.9808612440191
2150,0.74,12679,6289,6.23,17.9,1,208.9817696754113
7120,0.64,38991,18924,4.26,20.26,1,66.53592940187701
4130,1.24,24534,10392,3.91,27.13,1,93.90290598290598
7595,0.88,55961,22535,3.28,9.83,1,88.78067053755385
8025,7.69,46325,21762,9.45,24.64,1,205.000592111284
9185,2.08,38813,19783,4.88,27.54,1,189.54923135975434
3755,1.7,26395,11319,7.92,15.15,1,242.80051813471502
1750,1.11,10934,5211,7.28,19.05,1,418.2579522862823
1845,3.92,15441,5490,8.26,12.66,1,663.5700066357001
7360,0.14,35874,20396,5.11,12.94,1,89.06479859894921
4525,0.23,25373,14108,3.82,10.06,1,246.96606459330144
17175,1.65,109730,47647,4.6,8.6,1,140.35238228639156
73210,1.71,406770,192583,8.94,18.04,1,256.20901560690453
17260,1.9,93608,40533,4.25,12.4,1,25.66108674245815
4585,1.27,26976,12523,5.1,24.93,1,219.42611631118612
3675,12.77,15968,7536,8.4,26.35,1,433.8055691255496
6565,4.03,48100,18134,3.8,9.74,1,23.115678985348787
2545,2.77,18319,7927,5.86,12.39,1,243.07514712539611
3445,3.21,25572,10969,4.87,16.61,1,399.85199802664033
1960,7.48,12334,5356,5.58,21.05,1,289.72512780180887
2530,8.51,14165,7312,5.65,16.15,1,1188.309939424533
20910,0.83,107958,50053,4.52,11.34,0,758.4004137465168
14510,1.55,67431,40007,4.89,14.28,0,27.735622317596565
52115,1.08,294520,145838,3.22,8.29,0,526.1794769451235
5135,0.0,29933,22265,4.76,12.49,0,100.33444816053512
5155,6.4,25312,17962,6.22,15.12,1,86.97092254824213
3585,2.42,14715,10779,4.49,15.24,1,782.5280564863571
14920,0.64,92640,44492,3.8,10.17,1,223.38366857513233
6665,2.12,40692,16331,4.81,15.82,1,324.1960087241003
7610,3.79,45707,22055,4.07,15.21,1,31.121225710014947
13090,3.3,71470,29961,7.68,18.36,1,195.92125960320809
7100,5.69,36152,15914,5.0,15.95,1,106.19469026548673
2305,1.91,10175,5314,6.76,22.2,1,446.2438146648673
1675,5.45,8940,4586,2.91,15.27,1,435.9363153904473
1370,2.49,6660,3673,4.23,21.83,1,1393.9818054583625
2550,0.0,14569,7972,7.92,14.84,1,220.8275220827522
1805,1.09,14582,6246,5.1,18.16,1,362.0889748549323
21120,3.33,130836,54147,4.82,17.4,1,117.39142363704256
4180,3.76,20447,10946,5.71,22.24,1,217.3913043478261
9575,0.8,54832,41461,3.58,10.05,0,45.07357049729931
24060,0.78,122158,62997,3.72,12.41,0,17.576849836779108
6835,2.93,39809,24468,3.5,9.22,0,72.56687535571997
9585,2.42,57741,37123,6.1,13.43,0,11.80327868852459
6755,3.6,35890,18854,5.86,19.01,1,356.3740746624305
5925,0.88,31105,21278,5.06,12.53,1,69.07126137841352
54505,1.27,290923,124012,6.75,18.38,1,114.69166779755727
8055,3.29,64401,25094,5.1,10.5,1,381.8646567164179
5725,1.47,25213,20574,7.44,14.59,1,101.73344370860927
16530,1.51,101001,43348,4.36,16.13,1,129.95613255828647
3035,5.71,14187,6929,10.07,26.92,1,510.57641459545215
57820,1.86,322200,142813,5.23,15.8,1,39.270539577187805
9890,8.35,62371,26516,9.65,23.47,1,326.87001182033094
30010,0.92,151696,76088,4.64,13.37,0,146.97898582839474
6640,2.96,39723,22570,4.78,12.51,0,30.788177339901477
3940,2.74,24539,15866,7.3,10.79,1,131.57894736842104
11460,1.1,66403,34907,5.83,15.16,1,148.98582905086522
5145,2.01,29062,17614,4.52,14.66,1,222.9141498216409
4605,2.45,22902,14351,5.37,11.13,1,402.4002408671216
2650,5.96,14519,6732,8.4,18.88,1,365.4970760233918
8105,3.27,50744,23272,4.83,13.16,1,170.2954898911353
3650,5.64,25572,9984,8.74,15.38,1,258.74558356676005
14350,2.39,125061,48380,6.02,9.97,1,50.48265802269044
4260,5.21,22236,10894,5.12,18.47,1,117.2756331448242
7430,6.18,40465,18624,6.35,23.69,1,402.6334614061245
6225,2.66,37387,16013,7.85,13.81,1,188.27611612397018
3300,5.23,13391,7922,5.31,29.52,1,190.36692607003891
37010,0.34,206074,111067,3.49,7.43,0,115.76360316090046
14940,2.27,71002,32823,7.46,15.62,0,205.65886105715163
68270,1.33,575421,226330,4.25,5.72,0,109.18571558169363
139960,2.07,828193,337580,5.04,9.28,0,80.8078808176772
9510,0.08,92094,35421,3.8,4.38,0,99.95002498750625
2395,0.33,11099,9341,5.16,14.87,1,1030.2533437892096
11765,1.85,70363,29236,7.28,24.55,1,58.37233596134283
27020,1.42,158174,69719,6.28,12.39,1,349.53355275316625
45950,0.73,264322,112585,6.23,14.41,1,139.194606072096
2960,2.49,17725,12425,5.92,16.44,1,260.05547850208046
2720,1.37,17554,7501,5.27,13.43,1,550.5569402664374
6320,2.02,37125,16862,5.22,20.3,1,40.48101952277657
2370,4.73,11000,5337,5.4,22.43,1,594.6502057613169
5300,1.04,35359,16309,5.47,16.69,1,460.7849905546969
17745,2.8,126952,57540,5.37,16.9,1,103.65712323522374
45125,4.04,243243,113427,6.88,22.87,1,121.78693440158403
33900,2.42,202858,91644,5.85,16.74,1,98.49581618614667
1650,0.3,9959,5251,9.4,22.93,1,406.8539682539683
5620,4.64,33260,13645,4.86,13.26,0,295.8446847676024
21545,1.3,168233,63767,3.44,4.76,0,299.26220507588323
18615,1.63,161448,61226,4.37,6.75,0,79.15778707577871
